## VASPv5 - PBE - 800ev - 21x21x21 - NBANDSok - no SP
##          Total-energy | mag=   |  Vol-at  Vol-cub  a-cub 
    Ac :     -4.09382 eV |  0.000 |   45.50  182.00   5.67
    Ag :     -2.82708 eV |  0.000 |   18.06   72.24   4.16
    Al :     -3.74586 eV |  0.000 |   16.46   65.83   4.04
    As :     -4.10938 eV |  0.000 |   19.36   77.43   4.26
    Au :     -3.27118 eV |  0.000 |   18.17   72.69   4.17
     B :     -5.32796 eV |  0.000 |    5.89   23.56   2.87
 Ba_sv :     -1.90595 eV |  0.000 |   64.75  259.00   6.37
    Be :     -3.67368 eV |  0.000 |    7.88   31.53   3.16
    Bi :     -3.69657 eV |  0.000 |   31.71  126.83   5.02
    Br :     -0.97216 eV |  0.000 |   26.32  105.28   4.72
     C :     -4.66417 eV |  0.000 |    7.34   29.35   3.08
 Ca_pv :     -1.98228 eV |  0.000 |   41.98  167.92   5.52
    Cd :     -0.90248 eV |  0.000 |   22.97   91.89   4.51
    Ce :     -5.93173 eV |  0.000 |   26.41  105.63   4.73
    Cl :     -0.91884 eV |  0.000 |   21.10   84.42   4.39
    Co :     -6.90472 eV |  0.000 |   10.34   41.35   3.46
    Cr :     -9.11585 eV |  0.000 |   11.75   46.99   3.61
 Cs_sv :     -0.85344 eV |  0.000 |  117.15  468.61   7.77
    Cu :     -3.71786 eV |  0.000 |   12.00   48.00   3.63
  Dy_3 :     -4.58527 eV |  0.000 |   31.48  125.90   5.01
  Er_3 :     -4.53979 eV |  0.000 |   30.47  121.88   4.96
    Eu :     28.97198 eV |  0.000 |   22.20   88.80   4.46
     F :     -0.84609 eV |  0.000 |   10.03   40.14   3.42
    Fe :     -8.14365 eV |  0.000 |   10.25   41.00   3.45
    Ga :     -2.90417 eV |  0.000 |   18.98   75.93   4.23
    Ge :     -4.18236 eV |  0.000 |   19.67   78.68   4.29
  Ge_d :     -4.28797 eV |  0.000 |   19.52   78.09   4.27
    Hf :     -9.88265 eV |  0.000 |   22.29   89.17   4.47
 Hf_pv :     -9.88476 eV |  0.000 |   22.50   90.02   4.48
    Hg :     -0.29110 eV |  0.000 |   32.67  130.68   5.07
  Ho_3 :     -4.55799 eV |  0.000 |   30.91  123.66   4.98
     I :     -1.03885 eV |  0.000 |   34.95  139.81   5.19
    In :     -2.55959 eV |  0.000 |   27.53  110.14   4.79
  In_d :     -2.72237 eV |  0.000 |   27.49  109.95   4.79
    Ir :     -8.85663 eV |  0.000 |   14.57   58.26   3.88
  K_sv :     -1.09741 eV |  0.000 |   73.80  295.20   6.66
    La :     -4.92480 eV |  0.000 |   36.72  146.87   5.28
    Li :     -1.90099 eV |  0.000 |   20.33   81.32   4.33
    Mg :     -1.52948 eV |  0.000 |   23.00   91.98   4.51
    Mn :     -8.94466 eV |  0.000 |   10.69   42.77   3.50
    Mo :    -10.52171 eV |  0.000 |   15.92   63.68   3.99
     N :     -3.84465 eV |  0.000 |    7.59   30.36   3.12
    Na :     -1.30812 eV |  0.000 |   36.84  147.37   5.28
 Nb_pv :     -9.77205 eV |  0.000 |   18.96   75.86   4.23
    Nd :     -6.42658 eV |  0.000 |   22.80   91.18   4.50
    Ni :     -5.51238 eV |  0.000 |   10.85   43.40   3.51
    Np :    -12.13271 eV |  0.000 |   19.22   76.87   4.25
     O :     -2.28721 eV |  0.000 |    7.97   31.89   3.17
 Os_pv :    -11.09084 eV |  0.000 |   14.42   57.68   3.86
     P :     -4.51821 eV |  0.000 |   14.56   58.26   3.88
    Pa :     -9.49586 eV |  0.000 |   25.23  100.91   4.66
    Pb :     -3.57212 eV |  0.000 |   31.80  127.20   5.03
  Pb_d :     -3.70732 eV |  0.000 |   32.00  128.00   5.04
    Pd :     -5.18065 eV |  0.000 |   15.44   61.75   3.95
    Pm :     -6.53063 eV |  0.000 |   22.22   88.88   4.46
    Pr :     -6.28548 eV |  0.000 |   24.14   96.56   4.59
    Pt :     -6.05702 eV |  0.000 |   15.72   62.88   3.98
    Pu :    -13.28648 eV |  0.000 |   17.77   71.08   4.14
 Rb_pv :     -0.93239 eV |  0.000 |   90.26  361.04   7.12
    Re :    -12.36143 eV |  0.000 |   15.00   59.99   3.91
    Rh :     -7.27106 eV |  0.000 |   14.17   56.69   3.84
    Ru :     -9.09224 eV |  0.000 |   13.92   55.66   3.82
     S :     -2.83032 eV |  0.000 |   15.84   63.35   3.99
    Sb :     -3.80273 eV |  0.000 |   27.44  109.76   4.79
 Sc_sv :     -6.28569 eV |  0.000 |   24.62   98.47   4.62
    Se :     -2.76038 eV |  0.000 |   20.37   81.49   4.34
