## VASPv5 - PBE - 800ev - 21x21x21 - NBANDSok - with SP
##          Total-energy | mag=   |  Vol-at  Vol-cub  a-cub 
    Ac :     -4.09381 eV |  0.005 |   45.50  182.00   5.67
    Ag :     -2.82708 eV |  0.000 |   18.06   72.24   4.16
    Al :     -3.74586 eV |  0.000 |   16.46   65.83   4.04
    As :     -4.10938 eV |  0.000 |   19.36   77.43   4.26
    Au :     -3.27118 eV |  0.000 |   18.17   72.69   4.17
     B :     -5.32796 eV |  0.000 |    5.89   23.56   2.87
 Ba_sv :     -1.90595 eV |  0.000 |   64.75  259.00   6.37
    Be :     -3.67368 eV |  0.000 |    7.88   31.53   3.16
    Bi :     -3.69657 eV |  0.000 |   31.71  126.83   5.02
    Br :     -0.97216 eV |  0.002 |   26.32  105.28   4.72
     C :     -4.66417 eV |  0.000 |    7.32   29.28   3.08
 Ca_pv :     -1.98919 eV |  0.000 |   42.45  169.81   5.54
    Cd :     -0.90248 eV |  0.000 |   22.97   91.89   4.51
    Ce :     -5.93174 eV |  0.000 |   26.43  105.71   4.73
    Cl :     -0.93008 eV |  0.990 |   23.65   94.62   4.56
    Co :     -7.08980 eV |  1.634 |   10.92   43.67   3.52
    Cr :     -9.11585 eV |  0.000 |   11.75   46.99   3.61
 Cs_sv :     -0.85344 eV |  0.000 |  117.15  468.61   7.77
    Cu :     -3.71788 eV |  0.000 |   12.01   48.05   3.64
  Dy_3 :     -4.58527 eV | -0.000 |   31.48  125.90   5.01
  Er_3 :     -4.53979 eV | -0.000 |   30.47  121.88   4.96
    Eu :     -3.31370 eV |  2.749 |   37.69  150.74   5.32
     F :     -1.14393 eV |  1.000 |   10.81   43.22   3.51
    Fe :     -8.15284 eV |  1.038 |   10.54   42.14   3.48
    Ga :     -2.90416 eV |  0.000 |   18.98   75.93   4.23
    Ge :     -4.18235 eV | -0.000 |   19.67   78.68   4.29
  Ge_d :     -4.22988 eV | -0.035 |   19.55   78.22   4.28
    Hf :     -9.88265 eV | -0.000 |   22.29   89.17   4.47
 Hf_pv :     -9.88476 eV |  0.001 |   22.50   90.02   4.48
    Hg :     -0.29110 eV |  0.000 |   32.67  130.68   5.07
  Ho_3 :     -4.55799 eV |  0.000 |   30.91  123.66   4.98
     I :     -1.03885 eV |  0.000 |   34.95  139.81   5.19
    In :     -2.55959 eV |  0.000 |   27.53  110.14   4.79
