## VASPv5 - PBE - 800ev - 21x21x21 - NBANDSok - no SP
##          Total-energy | mag=   |  Vol-at  Vol-cub  a-cub 
    Ac :     -3.96187 eV |  0.000 |   45.74   91.48   4.51
    Ag :     -2.79634 eV |  0.000 |   18.22   36.44   3.32
    Al :     -3.64979 eV |  0.000 |   16.86   33.73   3.23
    As :     -4.21493 eV |  0.000 |   19.09   38.19   3.37
    Au :     -3.24967 eV |  0.000 |   18.25   36.51   3.32
     B :     -4.96834 eV |  0.000 |    6.14   12.28   2.31
 Ba_sv :     -1.92341 eV |  0.000 |   63.21  126.43   5.02
    Be :     -3.65603 eV |  0.000 |    7.84   15.68   2.50
    Bi :     -3.74923 eV |  0.000 |   31.59   63.18   3.98
    Br :     -1.00332 eV |  0.000 |   26.69   53.38   3.77
     C :     -4.87415 eV |  0.000 |    6.70   13.41   2.38
 Ca_pv :     -1.96511 eV |  0.000 |   41.99   83.98   4.38
    Cd :     -0.85221 eV |  0.000 |   23.63   47.26   3.62
    Ce :     -5.70261 eV |  0.000 |   27.12   54.24   3.79
    Cl :     -0.95725 eV |  0.000 |   21.26   42.52   3.49
    Co :     -6.66440 eV |  0.000 |   10.55   21.09   2.76
    Cr :     -9.50904 eV |  0.000 |   11.41   22.82   2.84
 Cs_sv :     -0.85249 eV |  0.000 |  115.07  230.13   6.13
    Cu :     -3.68358 eV |  0.000 |   12.08   24.16   2.89
  Dy_3 :     -4.45794 eV |  0.000 |   31.98   63.96   4.00
  Er_3 :     -4.53979 eV |  0.000 |   60.89  121.78   4.96
    Eu :     -4.25245 eV |  0.000 |   17.39   34.77   3.26
     F :     -0.88914 eV |  0.000 |    9.99   19.97   2.71
    Fe :     -7.83450 eV |  0.000 |   10.48   20.96   2.76
    Ga :     -2.88871 eV |  0.000 |   19.19   38.39   3.37
    Ge :     -4.17373 eV |  0.000 |   19.37   38.74   3.38
  Ge_d :     -4.28028 eV |  0.000 |   19.37   38.74   3.38
    Hf :     -9.77618 eV |  0.000 |   22.02   44.04   3.53
 Hf_pv :     -9.77670 eV |  0.000 |   22.26   44.51   3.54
    Hg :     -0.29858 eV |  0.000 |   29.93   59.86   3.91
  Ho_3 :     -4.43503 eV |  0.000 |   31.56   63.12   3.98
     I :     -1.05361 eV |  0.000 |   35.83   71.66   4.15
    In :     -2.54965 eV |  0.000 |   27.88   55.77   3.82
  In_d :     -2.71183 eV |  0.000 |   27.74   55.47   3.81
    Ir :     -8.22611 eV |  0.000 |   15.12   30.23   3.12
  K_sv :     -1.09699 eV |  0.000 |   74.64  149.28   5.30
    La :     -4.79711 eV |  0.000 |   37.60   75.20   4.22
    Li :     -1.89936 eV |  0.000 |   20.33   40.66   3.44
    Mg :     -1.51374 eV |  0.000 |   22.71   45.43   3.57
    Mn :     -8.86294 eV |  0.000 |   10.73   21.45   2.78
    Mo :    -10.95053 eV |  0.000 |   15.63   31.26   3.15
     N :     -4.06825 eV |  0.000 |    7.23   14.46   2.44
    Na :     -1.30750 eV |  0.000 |   36.81   73.62   4.19
 Nb_pv :    -10.09397 eV |  0.000 |   18.36   36.71   3.32
    Nd :     -6.35491 eV |  0.000 |   20.87   41.75   3.47
    Ni :     -5.46080 eV |  0.000 |   10.96   21.93   2.80
    Np :    -12.50151 eV |  0.000 |   17.73   35.45   3.29
     O :     -2.47351 eV |  0.000 |    7.78   15.55   2.50
 Os_pv :    -10.34168 eV |  0.000 |   14.87   29.75   3.10
     P :     -4.68382 eV |  0.000 |   14.20   28.40   3.05
    Pa :     -9.31841 eV |  0.000 |   24.63   49.27   3.67
    Pb :     -3.52941 eV |  0.000 |   31.79   63.58   3.99
  Pb_d :     -3.66476 eV |  0.000 |   31.98   63.97   4.00
    Pd :     -5.13701 eV |  0.000 |   15.58   31.17   3.15
    Pr :     -6.11940 eV |  0.000 |   22.58   45.15   3.56
    Pt :     -5.96197 eV |  0.000 |   15.91   31.82   3.17
    Pu :    -13.71763 eV |  0.000 |   16.54   33.08   3.21
 Rb_pv :     -0.93183 eV |  0.000 |   90.47  180.93   5.66
    Re :    -12.10761 eV |  0.000 |   15.07   30.15   3.11
    Rh :     -6.92771 eV |  0.000 |   14.60   29.20   3.08
    Ru :     -8.58465 eV |  0.000 |   14.32   28.64   3.06
     S :     -3.00271 eV |  0.000 |   15.75   31.50   3.16
    Sb :     -3.88987 eV |  0.000 |   27.18   54.37   3.79
 Sc_sv :     -6.22858 eV |  0.000 |   24.90   49.79   3.68
    Se :     -2.90093 eV |  0.000 |   20.40   40.81   3.44
    Si :     -4.90232 eV |  0.000 |   14.67   29.33   3.08
    Sn :     -3.76629 eV |  0.000 |   27.59   55.19   3.81
  Sn_d :     -3.93220 eV |  0.000 |   27.67   55.35   3.81
 Sr_sv :     -1.67870 eV |  0.000 |   53.69  107.38   4.75
    Ta :    -11.86285 eV |  0.000 |   18.10   36.21   3.31
  Tb_3 :     -4.48528 eV |  0.000 |   32.39   64.77   4.02
    Tc :    -10.04211 eV |  0.000 |   14.63   29.26   3.08
    Te :     -2.83381 eV |  0.000 |   28.50   57.00   3.85
    Th :     -7.26817 eV |  0.000 |   32.58   65.16   4.02
    Ti :     -7.66153 eV |  0.000 |   16.95   33.90   3.24
 Ti_sv :     -7.78311 eV |  0.000 |   17.19   34.37   3.25
    Tl :     -2.24084 eV |  0.000 |   31.13   62.25   3.96
     U :    -11.01823 eV |  0.000 |   20.19   40.38   3.43
     V :     -8.94093 eV |  0.000 |   13.21   26.42   2.98
  V_pv :     -9.08055 eV |  0.000 |   13.47   26.95   3.00
  V_sv :     -9.11968 eV |  0.000 |   13.50   27.00   3.00
     W :    -13.01726 eV |  0.000 |   15.96   31.92   3.17
  Y_sv :     -6.34116 eV |  0.000 |   33.09   66.17   4.04
