## VASPv5 - PBE - 800ev - 21x21x21 - NBANDSok - with SP
##          Total-energy | mag=   |  Vol-at  Vol-cub  a-cub 
    Ac :     -3.97151 eV |  0.556 |   22.89   91.57   4.51
    Ag :     -2.79635 eV |  0.000 |    9.11   36.42   3.31
    Al :     -3.64979 eV |  0.000 |    8.43   33.73   3.23
    As :     -4.21493 eV |  0.000 |    9.55   38.19   3.37
    Au :     -3.24967 eV |  0.000 |    9.13   36.51   3.32
     B :     -4.96834 eV |  0.000 |    3.07   12.28   2.31
 Ba_sv :     -1.92341 eV | -0.001 |   31.61  126.43   5.02
    Be :     -3.65602 eV |  0.000 |    3.92   15.68   2.50
    Bi :     -3.74923 eV |  0.000 |   15.79   63.18   3.98
    Br :     -1.00455 eV |  0.291 |   13.36   53.43   3.77
     C :     -4.87416 eV |  0.000 |    3.35   13.40   2.38
 Ca_pv :     -1.96718 eV | -0.052 |   20.99   83.98   4.38
    Cd :     -0.85221 eV |  0.000 |   11.81   47.26   3.62
    Ce :     -5.70261 eV |  0.000 |   13.56   54.25   3.79
    Cl :     -0.97945 eV |  0.990 |   11.68   46.71   3.60
    Co :     -7.00873 eV |  1.726 |    5.56   22.24   2.81
    Cr :     -9.50904 eV |  0.000 |    5.70   22.81   2.84
 Cs_sv :     -0.85251 eV |  0.000 |   57.56  230.23   6.13
    Cu :     -3.68357 eV |  0.000 |    6.05   24.19   2.89
  Dy_3 :     -4.45794 eV |  0.001 |   15.99   63.96   4.00
  Er_3 :     -4.53978 eV | -0.000 |   30.45  121.78   4.96
    Eu :     -4.25245 eV |  0.000 |    8.69   34.77   3.26
     F :     -1.19195 eV |  1.000 |    5.33   21.33   2.77
    Fe :     -8.30931 eV |  2.205 |    5.69   22.77   2.83
    Ga :     -2.88871 eV |  0.000 |    9.60   38.39   3.37
    Ge :     -4.17374 eV |  0.000 |    9.69   38.74   3.38
    Hf :     -9.77618 eV | -0.000 |   11.01   44.04   3.53
    Hg :     -0.29858 eV |  0.000 |   14.97   59.86   3.91
  Ho_3 :     -4.43503 eV | -0.001 |   15.78   63.12   3.98
     I :     -1.05361 eV |  0.011 |   17.92   71.66   4.15
    In :     -2.54966 eV |  0.000 |   13.94   55.75   3.82
    Ir :     -8.24370 eV |  0.522 |    7.57   30.28   3.12
  K_sv :     -1.09387 eV | -0.006 |   37.32  149.28   5.30
    La :     -4.79711 eV | -0.006 |   18.82   75.26   4.22
    Li :     -1.89936 eV |  0.000 |   10.17   40.66   3.44
    Mg :     -1.51374 eV |  0.000 |   11.36   45.43   3.57
    Mn :     -8.88112 eV |  0.907 |    5.45   21.78   2.79
    Mo :    -10.95053 eV |  0.000 |    7.82   31.26   3.15
     N :     -4.06813 eV |  0.000 |    3.62   14.46   2.44
    Na :     -1.30749 eV |  0.000 |   18.40   73.62   4.19
 Nb_pv :    -10.09398 eV |  0.000 |    9.17   36.69   3.32
    Nd :     -6.35491 eV |  0.000 |   10.44   41.75   3.47
    Ni :     -5.47716 eV |  0.538 |    5.49   21.97   2.80
    Np :    -12.50151 eV |  0.000 |    8.86   35.45   3.29
     O :     -2.47344 eV | -0.000 |    3.89   15.55   2.50
 Os_pv :    -10.34169 eV |  0.000 |    7.44   29.75   3.10
     P :     -4.68382 eV |  0.000 |    7.10   28.41   3.05
    Pa :     -9.31842 eV |  0.000 |   12.32   49.30   3.67
    Pb :     -3.52941 eV |  0.000 |   15.89   63.58   3.99
    Pd :     -5.13701 eV | -0.000 |    7.79   31.17   3.15
    Pr :      2.89479 eV |  0.064 |   13.81   55.23   3.81
    Pt :     -5.96196 eV |  0.000 |    7.95   31.82   3.17
    Pu :    -13.71770 eV |  0.001 |    8.26   33.04   3.21
 Rb_pv :     -0.93184 eV |  0.000 |   45.23  180.93   5.66
    Re :    -12.10761 eV | -0.000 |    7.54   30.15   3.11
    Rh :     -6.93553 eV |  0.453 |    7.31   29.22   3.08
    Ru :     -8.58459 eV |  0.046 |    7.16   28.64   3.06
     S :     -3.00271 eV | -0.000 |    7.87   31.50   3.16
    Sb :     -3.88987 eV |  0.000 |   13.59   54.37   3.79
 Sc_sv :     -6.22856 eV |  0.048 |   12.45   49.79   3.68
    Se :     -2.90093 eV | -0.000 |   10.20   40.81   3.44
    Si :     -4.90232 eV |  0.000 |    7.33   29.33   3.08
    Sn :     -3.76629 eV |  0.000 |   13.80   55.19   3.81
 Sr_sv :     -1.67550 eV |  0.000 |   26.84  107.38   4.75
    Ta :    -11.86284 eV | -0.000 |    9.05   36.21   3.31
  Tb_3 :     -4.48527 eV |  0.005 |   16.19   64.77   4.02
    Tc :    -10.04213 eV |  0.000 |    7.32   29.28   3.08
    Te :     -2.83381 eV |  0.000 |   14.25   57.00   3.85
    Th :     -7.26820 eV |  0.000 |   16.27   65.09   4.02
    Ti :     -7.66153 eV |  0.000 |    8.47   33.90   3.24
    Tl :     -2.24084 eV |  0.000 |   15.56   62.25   3.96
     U :    -11.01827 eV |  0.003 |   10.08   40.32   3.43
     V :     -8.94093 eV |  0.000 |    6.60   26.42   2.98
     W :    -13.01725 eV |  0.000 |    7.98   31.92   3.17
  Y_sv :     -6.34117 eV | -0.010 |   16.54   66.17   4.04
    Yb :     -1.65909 eV |  0.000 |   18.57   74.26   4.20
    Zn :     -1.18359 eV |  0.000 |    7.70   30.81   3.14
    Zr :     -8.39940 eV |  0.000 |   11.41   45.63   3.57
