## VASPv5 - PBE - 400ev - 21x21x13 - NBANDSok - without SP
##          Total-energy | mag=   |  Vol-at   c/a     a-hex 
    Ac :     -4.08495 eV |  0.000 |   45.49   1.621   4.02
    Ag :     -2.82388 eV |  0.000 |   18.01   1.643   2.94
    Al :     -3.71215 eV |  0.000 |   16.61   1.637   2.86
    As :     -4.15264 eV |  0.000 |   19.33   1.648   3.00
    Au :     -3.26618 eV |  0.000 |   18.19   1.681   2.92
     B :     -5.96981 eV |  0.000 |   10.28   4.753   1.71
 Ba_sv :     -1.90953 eV |  0.000 |   63.66   1.642   4.47
    Be :     -3.75296 eV |  0.000 |    7.92   1.578   2.26
    Bi :     -3.73971 eV |  0.000 |   31.62   1.653   3.54
    Br :     -1.12562 eV |  0.000 |   28.71   1.092   3.93
     C :     -5.28953 eV |  0.000 |    9.08   4.179   1.71
 Ca_pv :     -1.97975 eV |  0.000 |   42.30   1.654   3.89
    Cd :     -0.90713 eV |  0.000 |   22.60   1.903   3.02
    Ce :     -5.84504 eV |  0.000 |   26.30   1.743   3.27
    Cl :     -1.09373 eV |  0.000 |   22.81   1.070   3.66
    Co :     -6.88625 eV |  0.000 |   10.32   1.613   2.45
    Cr :     -9.10814 eV |  0.000 |   11.78   1.797   2.47
 Cs_sv :     -0.85389 eV |  0.000 |  117.23   1.615   5.51
    Cu :     -3.71085 eV |  0.000 |   11.98   1.653   2.56
  Dy_3 :     -4.59359 eV |  0.000 |   32.01   1.555   3.62
  Er_3 :     -4.56427 eV |  0.000 |   30.96   1.550   3.59
     F :     -0.99346 eV |  0.000 |    9.25   1.034   2.74
    Fe :     -8.22241 eV |  0.000 |   10.17   1.581   2.46
    Ga :     -2.89576 eV |  0.000 |   19.07   1.627   3.00
    Ge :     -4.18403 eV |  0.000 |   19.45   1.678   2.99
  Ge_d :     -4.28931 eV |  0.000 |   19.35   1.683   2.98
    Hf :     -9.95644 eV |  0.000 |   22.27   1.579   3.19
 Hf_pv :     -9.95469 eV |  0.000 |   22.41   1.584   3.20
    Hg :     -0.30532 eV |  0.000 |   31.38   1.547   3.60
  Ho_3 :     -4.57457 eV |  0.000 |   31.50   1.551   3.61
     I :     -1.23509 eV |  0.000 |   49.12   2.954   3.37
    In :     -2.55405 eV |  0.000 |   27.72   1.629   3.40
  In_d :     -2.71490 eV |  0.000 |   27.48   1.698   3.34
    Ir :     -8.78380 eV |  0.000 |   14.63   1.623   2.75
  K_sv :     -1.09735 eV |  0.000 |   73.97   1.631   4.71
    La :     -4.89741 eV |  0.000 |   37.58   1.610   3.78
    Li :     -1.90042 eV |  0.000 |   20.30   1.620   3.07
    Mg :     -1.54252 eV |  0.000 |   22.86   1.624   3.19
    Mn :     -8.97606 eV |  0.000 |   10.63   1.616   2.48
    Mo :    -10.50554 eV |  0.000 |   15.99   1.781   2.75
     N :     -4.72874 eV |  0.000 |    6.86   0.953   2.55
    Na :     -1.30821 eV |  0.000 |   36.99   1.632   3.74
 Nb_pv :     -9.79654 eV |  0.000 |   18.88   1.822   2.88
    Nd :     -6.47548 eV |  0.000 |   20.72   2.132   2.82
    Ni :     -5.48760 eV |  0.000 |   10.87   1.653   2.48
    Np :    -12.26678 eV |  0.000 |   19.11   1.932   2.84
     O :     -2.89179 eV |  0.000 |    7.69   0.993   2.62
 Os_pv :    -11.22562 eV |  0.000 |   14.35   1.579   2.76
     P :     -4.55972 eV |  0.000 |   14.48   1.674   2.71
    Pa :     -9.48813 eV |  0.000 |   24.87   1.793   3.18
    Pb :     -3.55692 eV |  0.000 |   31.60   1.647   3.54
  Pb_d :     -3.67977 eV |  0.000 |   30.48   1.714   3.45
    Pd :     -5.14920 eV |  0.000 |   15.48   1.679   2.77
    Pr :     -6.28556 eV |  0.000 |   21.97   1.979   2.95
    Pt :     -5.99935 eV |  0.000 |   15.82   1.728   2.77
    Pu :    -13.58011 eV |  0.000 |   18.33   2.464   2.58
 Rb_pv :     -0.93300 eV |  0.000 |   91.38   1.622   5.07
    Re :    -12.42249 eV |  0.000 |   14.93   1.615   2.77
    Rh :     -7.23549 eV |  0.000 |   14.22   1.614   2.73
    Ru :     -9.20328 eV |  0.000 |   13.85   1.577   2.73
     S :     -3.27921 eV |  0.000 |   17.08   1.039   3.36
    Sb :     -3.84223 eV |  0.000 |   27.43   1.646   3.38
 Sc_sv :     -6.33260 eV |  0.000 |   24.60   1.553   3.32
    Se :     -3.12343 eV |  0.000 |   22.40   1.036   3.68
    Si :     -4.91549 eV |  0.000 |   14.33   1.701   2.69
    Sn :     -3.78012 eV |  0.000 |   27.67   1.664   3.37
  Sn_d :     -3.94498 eV |  0.000 |   27.51   1.678   3.36
 Sr_sv :     -1.67980 eV |  0.000 |   55.17   1.643   4.26
    Ta :    -11.57620 eV |  0.000 |   18.57   1.776   2.89
  Tb_3 :     -4.61701 eV |  0.000 |   32.46   1.565   3.63
    Tc :    -10.30595 eV |  0.000 |   14.46   1.599   2.75
    Te :     -2.96337 eV |  0.000 |   31.60   1.067   4.09
    Th :     -7.37121 eV |  0.000 |   32.49   1.689   3.54
    Ti :     -7.76242 eV |  0.000 |   17.12   1.583   2.92
 Ti_sv :     -7.89031 eV |  0.000 |   17.29   1.588   2.93
    Tl :     -2.24545 eV |  0.000 |   31.10   1.565   3.58
     U :    -11.06577 eV |  0.000 |   20.98   1.838   2.98
     V :     -8.68333 eV |  0.000 |   13.60   1.813   2.59
  V_pv :     -8.82420 eV |  0.000 |   13.76   1.798   2.60
  V_sv :     -8.86187 eV |  0.000 |   13.77   1.796   2.61
     W :    -12.50860 eV |  0.000 |   16.35   1.785   2.77
  Y_sv :     -6.46606 eV |  0.000 |   32.93   1.550   3.66
    Yb :     -1.64195 eV |  0.000 |   37.55   1.635   3.76
    Zn :     -1.25692 eV |  0.000 |   14.80   1.722   2.71
    Zr :     -8.47783 eV |  0.000 |   23.43   1.599   3.23
 Zr_sv :     -8.54690 eV |  0.000 |   23.42   1.605   3.23
