## VASPv5 - PBE - 800ev - 21x21x21 - NBANDSok - with SP
##          Total-energy | mag=   |  Vol-at   c/a     a-hex 
    Ac :     -4.08483 eV | -0.000 |   45.51   1.619   4.02
    Ag :     -2.82379 eV |  0.000 |   18.07   1.641   2.94
    Al :     -3.71280 eV | -0.000 |   16.60   1.653   2.85
    As :     -4.15286 eV |  0.000 |   19.43   1.728   2.96
    Au :     -3.26621 eV |  0.000 |   18.20   1.673   2.93
     B :     -5.97187 eV |  0.000 |   11.74   5.409   1.71
 Ba_sv :     -1.90970 eV | -0.002 |   63.69   1.642   4.47
    Be :     -3.75405 eV |  0.000 |    7.92   1.579   2.26
    Bi :     -3.73993 eV |  0.000 |   31.64   1.668   3.53
    Br :     -1.12568 eV | -0.000 |   28.72   1.092   3.93
     C :     -5.29408 eV |  0.000 |    9.78   4.444   1.72
 Ca_pv :     -1.97984 eV |  0.000 |   42.26   1.655   3.89
    Cd :     -0.90901 eV |  0.000 |   23.03   1.904   3.03
    Ce :     -5.84428 eV |  0.001 |   26.84   1.741   3.29
    Cl :     -1.09280 eV | -0.000 |   22.82   1.070   3.67
    Co :     -7.10771 eV |  1.594 |   10.87   1.614   2.50
    Cr :     -9.10771 eV | -0.000 |   11.79   1.797   2.47
 Cs_sv :     -0.85381 eV |  0.000 |  117.24   1.615   5.51
    Cu :     -3.71062 eV |  0.000 |   12.04   1.640   2.57
  Dy_3 :     -4.59391 eV |  0.008 |   32.00   1.555   3.62
  Er_3 :     -4.56451 eV | -0.000 |   30.96   1.550   3.59
     F :     -1.29532 eV |  1.000 |   11.46   0.981   3.00
    Fe :     -8.22202 eV |  0.000 |   10.19   1.580   2.46
    Ga :     -2.89576 eV |  0.000 |   19.14   1.649   2.99
    Ge :     -4.18416 eV |  0.000 |   19.44   1.670   3.00
    Hf :     -9.95639 eV |  0.000 |   22.28   1.579   3.19
    Hg :     -0.30546 eV |  0.000 |   31.67   1.545   3.62
  Ho_3 :     -4.57487 eV | -0.000 |   31.50   1.550   3.61
     I :     -1.23520 eV |  0.000 |   49.15   2.952   3.38
    In :     -2.55411 eV |  0.000 |   27.83   1.631   3.40
    Ir :     -8.78424 eV |  0.000 |   14.63   1.620   2.75
  K_sv :     -1.09766 eV | -0.000 |   74.01   1.631   4.71
    La :     -4.89979 eV |  0.000 |   37.60   1.612   3.78
    Li :     -1.90071 eV |  0.000 |   20.30   1.620   3.07
    Mg :     -1.54259 eV |  0.000 |   22.80   1.620   3.19
    Mn :     -8.97604 eV |  0.000 |   10.65   1.616   2.48
    Mo :    -10.50649 eV |  0.000 |   16.00   1.782   2.75
     N :     -4.72720 eV | -0.000 |    7.09   0.952   2.58
    Na :     -1.30825 eV | -0.000 |   36.99   1.632   3.74
 Nb_pv :     -9.79789 eV |  0.000 |   18.87   1.822   2.88
    Nd :     -7.61607 eV |  4.061 |   31.34   1.591   3.57
    Ni :     -5.54597 eV |  0.622 |   10.97   1.642   2.49
    Np :    -12.45070 eV |  2.809 |   20.83   2.184   2.80
     O :     -2.89650 eV |  0.000 |    8.13   0.983   2.67
 Os_pv :    -11.22734 eV |  0.000 |   14.36   1.578   2.76
     P :     -4.97615 eV |  0.000 |   15.16   0.976   3.30
    Pa :     -9.48912 eV |  0.000 |   24.87   1.793   3.18
    Pb :     -3.55711 eV |  0.000 |   31.68   1.659   3.53
    Pd :     -5.15459 eV |  0.400 |   15.56   1.659   2.79
    Pr :     -6.47265 eV |  2.552 |   28.35   1.709   3.37
    Pt :     -6.00012 eV |  0.000 |   15.83   1.727   2.77
    Pu :    -13.75556 eV |  2.437 |   18.93   2.217   2.70
 Rb_pv :     -0.93295 eV |  0.000 |   91.40   1.622   5.07
    Re :    -12.42467 eV |  0.000 |   14.94   1.615   2.77
    Rh :     -7.23617 eV |  0.000 |   14.23   1.612   2.73
    Ru :     -9.20336 eV |  0.000 |   13.84   1.577   2.73
     S :     -3.27910 eV |  0.000 |   17.11   1.042   3.36
    Sb :     -3.84238 eV |  0.000 |   27.43   1.647   3.38
 Sc_sv :     -6.33328 eV |  0.009 |   24.70   1.558   3.32
    Se :     -3.12353 eV | -0.000 |   22.37   1.043   3.67
    Si :     -4.91601 eV |  0.000 |   14.33   1.691   2.69
    Sn :     -3.78019 eV |  0.000 |   27.67   1.657   3.38
 Sr_sv :     -1.68070 eV |  0.010 |   55.36   1.637   4.27
    Ta :    -11.57641 eV |  0.000 |   18.57   1.777   2.89
  Tb_3 :     -4.61730 eV |  0.000 |   32.44   1.566   3.63
    Tc :    -10.30656 eV |  0.000 |   14.47   1.599   2.75
    Te :     -2.96317 eV |  0.000 |   31.50   1.079   4.07
    Th :     -7.37050 eV | -0.000 |   32.50   1.689   3.54
    Ti :     -7.76231 eV | -0.000 |   17.12   1.582   2.92
    Tl :     -2.24564 eV |  0.000 |   31.12   1.565   3.58
     U :    -11.06788 eV |  0.000 |   20.99   1.837   2.98
     V :     -8.68290 eV |  0.000 |   13.61   1.813   2.59
     W :    -12.50967 eV |  0.000 |   16.36   1.786   2.77
  Y_sv :     -6.46428 eV |  0.214 |   32.94   1.560   3.65
    Yb :     -1.65373 eV |  0.000 |   37.77   1.631   3.77
    Zn :     -1.26665 eV |  0.000 |   15.30   1.885   2.66
    Zr :     -8.47788 eV |  0.000 |   23.43   1.599   3.23
