# Eltm. Struct. |    Total-energy | mag=   |  Vol-at Vol-conv  a-conv  b/a   c/a
    Ag   A1-fcc |     -2.82735 eV |  0.000 |   17.94   71.77  4.156  1.000  1.000
    Al   A1-fcc |     -3.74529 eV |  0.000 |   16.45   65.78  4.037  1.000  1.000
    Au   A1-fcc |     -3.27119 eV |  0.000 |   18.17   72.69  4.173  1.000  1.000
 Ba_sv   A2-bcc |     -1.92324 eV |  0.000 |   63.33  126.66  5.022  1.000  1.000
 Ca_pv   A1-fcc |     -1.99029 eV |  0.027 |   42.45  169.81  5.538  1.000  1.000
    Cd   A3-hcp |     -0.90902 eV |  0.000 |   22.58   45.17  3.024  1.000  1.886
    Co   A3-hcp |     -7.10780 eV |  3.184 |   10.84   21.68  2.494  1.000  1.615
    Cr   A2-bcc |     -9.50959 eV |  0.000 |   11.41   22.82  2.837  1.000  1.000
    Cu   A1-fcc |     -3.71826 eV |  0.000 |   11.97   47.88  3.631  1.000  1.000
    Fe   A2-bcc |     -8.30967 eV |  2.206 |   11.38   22.77  2.834  1.000  1.000
    Hf   A3-hcp |     -9.95644 eV |  0.000 |   22.27   44.54  3.194  1.000  1.579
    Ir   A1-fcc |     -8.85618 eV |  0.000 |   14.57   58.26  3.877  1.000  1.000
    Mg   A3-hcp |     -1.54249 eV |  0.000 |   22.80   45.59  3.192  1.000  1.619
    Mo   A2-bcc |    -10.94943 eV |  0.000 |   15.63   31.26  3.150  1.000  1.000
     N   A3-hcp |     -4.74039 eV |  0.000 |    6.87   13.74  2.552  1.000  0.955
 Nb_pv   A2-bcc |    -10.09237 eV |  0.000 |   18.30   36.61  3.320  1.000  1.000
    Ni   A1-fcc |     -5.57014 eV |  0.619 |   10.93   43.74  3.523  1.000  1.000
 Os_pv   A3-hcp |    -11.22563 eV |  0.000 |   14.35   28.71  2.759  1.000  1.578
    Pb   A1-fcc |     -3.57208 eV |  0.000 |   31.80  127.20  5.029  1.000  1.000
  Pb_d   A1-fcc |     -3.70732 eV |  0.000 |   32.00  128.00  5.040  1.000  1.000
    Pd   A1-fcc |     -5.18241 eV |  0.349 |   15.45   61.79  3.953  1.000  1.000
    Pt   A1-fcc |     -6.05620 eV |  0.000 |   15.72   62.88  3.977  1.000  1.000
    Re   A3-hcp |    -12.42249 eV |  0.000 |   14.93   29.86  2.774  1.000  1.615
    Rh   A1-fcc |     -7.27040 eV |  0.000 |   14.17   56.69  3.842  1.000  1.000
    Ru   A3-hcp |     -9.20328 eV |  0.000 |   13.84   27.69  2.727  1.000  1.577
 Sc_sv   A3-hcp |     -6.33264 eV |  0.000 |   24.60   49.20  3.319  1.000  1.553
    Sn   A5-bct |     -3.77709 eV |  0.000 |   27.73   55.47  4.034  1.000  0.845
  Sn_d   A5-bct |     -3.94312 eV |  0.000 |   27.78   55.56  4.036  1.000  0.845
 Sr_sv   A1-fcc |     -1.68254 eV |  0.000 |   54.47  217.87  6.017  1.000  1.000
    Ta   A2-bcc |    -11.86241 eV |  0.000 |   18.10   36.21  3.308  1.000  1.000
    Tc   A3-hcp |    -10.30596 eV |  0.000 |   14.47   28.94  2.754  1.000  1.600
    Ti   A3-hcp |     -7.76241 eV |  0.000 |   17.12   34.24  2.923  1.000  1.583
 Ti_sv   A3-hcp |     -7.89031 eV |  0.000 |   17.29   34.59  2.930  1.000  1.588
    Tl   A3-hcp |     -2.24544 eV |  0.000 |   31.17   62.34  3.584  1.000  1.564
     V   A2-bcc |     -8.94139 eV |  0.000 |   13.21   26.42  2.978  1.000  1.000
  V_pv   A2-bcc |     -9.07764 eV |  0.000 |   13.38   26.75  2.991  1.000  1.000
  V_sv   A2-bcc |     -9.11528 eV |  0.000 |   13.38   26.76  2.991  1.000  1.000
     W   A2-bcc |    -13.01593 eV |  0.000 |   15.96   31.92  3.172  1.000  1.000
  Y_sv   A3-hcp |     -6.46606 eV |  0.000 |   32.92   65.83  3.660  1.000  1.550
    Zn   A3-hcp |     -1.26635 eV |  0.000 |   15.18   30.35  2.651  1.000  1.881
    Zr   A3-hcp |     -8.47783 eV |  0.000 |   23.43   46.86  3.234  1.000  1.599
 Zr_sv   A3-hcp |     -8.54690 eV |  0.000 |   23.42   46.85  3.230  1.000  1.605
